Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Spashth Rahu ,04°Maka17′ 40″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.005,300.13,-20.56,1991-01-01 18:30:00
Spashth Ketu ,04°Kark17′ 40″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.005,120.13,20.56,1991-01-01 18:30:00
Lagna ,14°Mitu05′ 03″, Ardra,3,Rahu,74.08,00°N00′ 00″,304.26,98.52,23.21,1991-01-01 17:00:00
Surya ,16°Dhan54′ 41″, P Ashadha,2,Shukra,256.91,00°S00′ 00″,1.02,281.58,-23.01,1991-01-01 17:00:00
Chandra ,28°Mitu15′ 43″, Punarvasu,3,Guru,88.26,00°N33′ 20″,14.96,113.86,22.19,1991-01-01 17:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 36″,0.001,54.92,21.94,1991-01-01 17:00:00
Budha ,00°Dhan20′ 23″, Mula,1,Ketu,240.34,03°N07′ 44″,-0.35,263.7,-20.18,1991-01-01 17:00:00
Guru ,18°Kark11′ 15″, Ashlesha,1,Budha,108.19,00°N41′ 00″,-0.1,134.59,17.87,1991-01-01 17:00:00
Shukra ,01°Maka42′ 54″, U Ashadha,2,Surya,271.72,01°S17′ 52″,1.25,297.68,-22.33,1991-01-01 17:00:00
Shani ,01°Maka59′ 32″, U Ashadha,2,Surya,271.99,00°S08′ 37″,0.12,297.74,-21.14,1991-01-01 17:00:00
Arun ,16°Dhan01′ 36″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 17:00:00
Varun ,20°Dhan24′ 03″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.9,1991-01-01 17:00:00
Yam ,26°Tula01′ 13″, Vishakha,2,Guru,206.02,14°N58′ 47″,0.03,-128.69,-3.22,1991-01-01 17:00:00
Rahu ,05°Maka21′ 39″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.24,-20.34,1991-01-01 17:00:00
Ketu ,05°Kark21′ 39″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.24,20.34,1991-01-01 17:00:00
Spashth Rahu ,04°Maka17′ 41″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 17:00:00
Spashth Ketu ,04°Kark17′ 41″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 17:00:00
Lagna ,03°Vibh37′ 22″, Krittika,3,Surya,33.62,00°N00′ 00″,524.98,55.08,19.57,1991-01-01 14:30:00
Surya ,16°Dhan48′ 19″, P Ashadha,2,Shukra,256.81,00°S00′ 00″,1.02,281.47,-23.02,1991-01-01 14:30:00
Chandra ,26°Mitu42′ 07″, Punarvasu,3,Guru,86.7,00°N41′ 54″,14.99,112.22,22.58,1991-01-01 14:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 33″,-0.001,54.92,21.94,1991-01-01 14:30:00
Budha ,00°Dhan22′ 38″, Mula,1,Ketu,240.38,03°N07′ 57″,-0.37,263.74,-20.18,1991-01-01 14:30:00
Guru ,18°Kark11′ 52″, Ashlesha,1,Budha,108.2,00°N40′ 59″,-0.1,134.6,17.87,1991-01-01 14:30:00
Shukra ,01°Maka35′ 04″, U Ashadha,2,Surya,271.58,01°S17′ 43″,1.25,297.54,-22.35,1991-01-01 14:30:00
Shani ,01°Maka58′ 48″, U Ashadha,2,Surya,271.98,00°S08′ 36″,0.12,297.73,-21.14,1991-01-01 14:30:00
Arun ,16°Dhan01′ 14″, P Ashadha,1,Shukra,256.02,00°S19′ 09″,0.06,280.64,-23.4,1991-01-01 14:30:00
Varun ,20°Dhan23′ 49″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 14:30:00
Yam ,26°Tula01′ 03″, Vishakha,2,Guru,206.02,14°N58′ 45″,0.03,-128.69,-3.22,1991-01-01 14:30:00
Rahu ,05°Maka21′ 59″, U Ashadha,3,Surya,275.37,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 14:30:00
Ketu ,05°Kark21′ 59″, Pushya,1,Shani,95.37,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 14:30:00
Spashth Rahu ,04°Maka17′ 44″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 14:30:00
Spashth Ketu ,04°Kark17′ 44″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 14:30:00
Lagna ,12°Kark46′ 22″, Pushya,3,Shani,102.77,00°N00′ 00″,258.96,128.9,18.65,1991-01-01 19:30:00
Surya ,17°Dhan01′ 03″, P Ashadha,2,Shukra,257.02,00°S00′ 00″,1.02,281.7,-23.01,1991-01-01 19:30:00
Chandra ,29°Mitu49′ 07″, Punarvasu,3,Guru,89.82,00°N24′ 45″,14.93,115.49,21.79,1991-01-01 19:30:00
Mangal ,04°Vibh00′ 54″, Krittika,3,Surya,34.02,02°N20′ 38″,0.002,54.92,21.94,1991-01-01 19:30:00
Budha ,00°Dhan18′ 15″, Mula,1,Ketu,240.3,03°N07′ 30″,-0.33,263.66,-20.19,1991-01-01 19:30:00
Guru ,18°Kark10′ 38″, Ashlesha,1,Budha,108.18,00°N41′ 01″,-0.1,134.58,17.88,1991-01-01 19:30:00
Shukra ,01°Maka50′ 44″, U Ashadha,2,Surya,271.85,01°S18′ 01″,1.25,297.82,-22.31,1991-01-01 19:30:00
